col_a,col_b
"kalahaḥ, kalaham",ссора
kīrtiḥ,f слава
gopaḥ,пастух
jātiḥ,"f порода, каста"
dhṛtiḥ,"f решимость, мужество"
pārthivaḥ,"царь, князь"
buddhiḥ,"f ум, разум"
bhaktiḥ,"f преданность, почитание"
bhāgaḥ,"m кусок, часть, доля"
bhūtiḥ,"f благополучие, благословение"
bhūmiḥ,"f земля, почва, страна"
makṣikā,"муха, комар"
muktiḥ,"f избавление, спасение"
yaṣṭiḥ,f прут
raśmiḥ,"m узда, луч"
rātriḥ,f ночь
"vraṇaḥ, vraṇam","m, n рана"
śāntiḥ,f покой
śrutiḥ,"f слух, священное писание"
smṛtiḥ,"f воспоминание, предание, свод законов"
svapnaḥ,"сон, сновидение"
hanu,f челюсть
"nīca, nīcā",низкий
"mukhya, mukhyā","отличный, превосходный, первый"
"laghu, laghvī",легкий
