col_a,col_b
atikram,"4, 1P. / 1Ā. переходить за,  проходить, переступать, нарушать"
adhisthā,"стоять над, на, взлезать, повелевать"
ujjan,"рождаться, происходить из"
niṣev,"обслуживать, населять, посещать"
niṣpad,"4Ā. исходить, происходить"
apidhā,"покрывать, прикрывать"
prajan,возникать
prabhū,"возникать, властвовать"
pratibhāṣ,отвечать
pratiṣidh,"1P. удерживать, запрещать"
pratihan,"препятствовать, повреждать"
rac,"1P. составлять, сочинять"
vinaś,"исчезать, гибнуть"
samnah,"4P опоясывать, снаряжать"
