col_a,col_b
aham,"aham N., V., sg."
"mām, mā","aham A., sg."
mayā,"aham I., sg."
"mahyam, me","aham D., sg."
mat,"aham Abl., sg."
"mama, me","aham Gen., sg."
mayi,"aham L., sg."
āvām,"aham N., V., du."
"āvām, nau","aham A., du."
āvābhyām,"aham I., Abl., du."
"āvābhyām, nau","aham D., du."
"āvayoḥ, nau","aham Gen., du."
āvayoḥ,"aham L., du."
vayam,"aham N., V., pl."
"asmān, naḥ","aham A., pl."
asmābhiḥ,"aham I., pl."
"asmabhyam, naḥ","aham D., pl."
asmat,"aham Abl., pl."
"asmākam, naḥ","aham Gen., pl."
asmāsu,"aham L., pl."
