col_a,col_b
पुत्र,"(m) мальчик, сын"
तद्,это
दीर्घ,длинный
द्वितीय,второй
मक्षिका,(f) муха
पार्थिव,"(m) царь, властелин земли"
व्रण,(m) рана
कलह,"(m,n) ссора,спор"
शान्ति,"покой, тишина"
नीच,"низкий, глубокий"
साधु,"хороший, благой"
इष्,желать
च,и
न,"не, нет"
पितर्,(m) отец
मातर्,(f) мать
पितरौ,(du) родители
दुहितर्,(f) дочь
सूनु,(m) сын
ज्ञा,знать
स्रु,течь
भू,быть
नमस्,"поклон, почтение"
नट्,"танцевать, играть на сцене"
नटन,(n) танец
गण्,считать
गणक,(m)математик
गणन,(n) счет
कथ्,I. беседовать с кем либо
कथक,(m) рассказчик
कथन,(n) рассказывание
महाफल,"(n) великий плод, большая награда"
महापथ,(m) главная или королевская дорога
महारथ,"(m) большая колесница; перенoc. великий воин, богатырь"
महावन,(n) великий лес
महागज,(m) великий слон
सुपुत्र,(m) выдающийся сын; a. имеющий выдающихся сыновей
सुरथ,"хороший колесничий, имеющий хорошую колесницу"
सुकथा,хороший рассказчик
सुमहन्त्,очень большой
सुकृत,хорошо сделанный
गम्,"идти, ходить"
वच्,(f) речь
अस्,"быть, про­исходить"
कर्,делать
श्रु,"слышать,слушать"
वेद,(m) знание
एक,"один, единственный"
दश,десять
शत,"одинаковый, ровный"
सहस्र,(n) тысяча
धर्म,"(m) правило, закон, обязанность, долг"
कर्मन्,"(п) дело, работа"
तुष्,быть довольным
अश्वपति,(m) nom.pr. Ащвапати
उपाख्यान,(n) небольшой рассказ
शास्त्र,учение
आस्,cидеть
अग्निर् इव,как огонь
अग्नी रोचते,огонь сверкает
