col_a,col_b
भाषते,(A.)  (он) говорит
चक्रवत्,"adv. как колесо, подобно спицам колеса"
ईक्षते,"(A.)  (он) смотрит, видит"
कम्पते,"(A.) дрожит, трясётся"
कः,кто? что? какой? N. sg. m
खादति,"(P.) ест, питается"
किमर्थम्,зачем?
क्व​,"где, как"
लभते,(A.)  (он) получает
लिखति,(P.) пишет
पचति,"(U.) печёт, варит, готовит (пищу)"
वर्तते,"(A.)  поворачивается, оборачивается, вращается"
पतति,"(P.) падает, летает"
पठति,(P.) читает
पत्रम्,(n) лист; письмо
पुस्तकः,(m) книга
संवादः,"(m) беседа, разговор"
सर्वत्र​,"adv. везде, повсюду"
शिक्षते,(A.)  учится
तत्र​,adv. там; туда
वदति,(P.) говорит
वसति,"(P.) живёт, обитает"
वृक्षः,(m) дерево
