col_a,col_b
कथा,(f) рассказ
काल,(m) время
जगाम,он пришел
तदा,тогда
यथा,как
हा,ай!
तथा,так
दान,"(n) щедрость, даяние"
नारद,"(m) nom. pr. имя мудреца ""Нарада"""
महा,"большой, великий"
सभा,(f) зал собраний
महाभारत,"(n) ""Махабхарата"", древнеиндий эпос"
रामायण,"(n) ""Рамаяна"", древнеиндий эпос"
हि,"ибо, так как"
कवि,(m) поэт
गति,(f) путь
यदि,если
दिन,(n) день
नियम,(m) обет
पादाभिवादन,(n) земной поклон
मही,(f) земля
परि,вокруг
सखि,(m) друг
समीप,(n) близость
शिव,(m) Шива (nom. pr. бога)
पितामह,(m) дед
तु,но
सु,хорошо
भू,быть
कुल,"(n) род, семья"
पुर,(n) город
भूमि,(f) земля
सुख,(n) счастье
कर्,делать
कुरु,сделай
सुत,(m) сын
सुता,(f) дочь
सूनु,(m) сын
पुरुष,(m) человек; мужчина
दुःख,(n) несчастье
अति,"через, мимо"
इति,так
उभ,оба
अथ,итак
उवाच,он сказал
अपि,тоже
इव,как
अभाव,"(m) гибель, небытие"
आहार,(m) еда
उदक,(n) вода
उषस्,"(f) рассвет, утренняя заря, утро; nom. pr. богини"
अस्,быть
आसीत्,он был
अहम्,я
माम्,A. sg. от aham
गम्,идти
दुहितर्,(f) дочь
नामन्,(n) имя
पुनर्,снова
पितर्,(m) отец
मातर्,(f) мать
राजन्,"(m) царь, князь"
विद्,"знать, ведать"
वयस्,(n) возраст
शिरस्,(n) голова
षष्,шесть
सवितर्,(m) солнце
°गामिनी,идущая
