col_a,col_b
क,"кто, который?"
ख,"(n) воздушное пространство, небо"
°ग,идущий
च,и
°ज,рожденный
त,тот
°द,дающий
न,не
°प,пьющий
भ,"(n) звезда, созвездие"
कट,(m) циновка
दम,"(m,n) дом, жилище"
कज,(n) цветок лотоса
धन,"(n) богатство, деньги"
खन,(m) яма
नख,"(m, n) ноготь"
गज,(m) слон
पद,"(n) шаг, нога"
गण,(m) множество
पथ,путь
गत,идущий
भग,(m) счастье
जन,(m) человек
मम,"мой, меня"
तन,(n) дитя
कनक,(n) золото
कनथ,вы довольны
कतम,который из многих?
पतथ,вы падаете
चटक,(m) воробей
गदथ,вы говорите
धनद,щедрый
गचथ,вы идете
जनन,"(n) создание, творение"
जनक,"(m) создатель, творец"
कथन,(n) рассказывание
कथक,(m) рассказчик
नटन,(n) танец
गणन,(n) счет
नटक,"(m) танцор, актер"
गणक,(m) математик
