col_a,col_b
मे,D. от aham
ते,D. от tvam ты
देव,(m) бог
देवी,(f) богиня
वेद,(m) Веда
देश,"(m) место, страна"
हे,эй!
एव,"частица ""же"""
एतद्,это
एक,один
एकैक,один за другим
हैम,золотой
महाभारते,"(L. sg.) в эпосе ""Махабхарата"""
गो,(f) корова
घोर,ужасный
घोष,(m) шум
लोक,(m) мир
भोजन,(n) пища
ओजस्,"(n) сила, мощь"
ओदन,(m) рисовая каша
तपोवन,(n) лес подвижничества
पौर,(m) горожанин
पादौ,ноги
यौवन,(n) молодость
औदक,"водяной, водный"
औषस,"утренний, ранний"
कृत,сделанный
वृणोमि,я выбираю
शृणु,слушай!
नृपति,(m) царь
पृथिवी,(f) земля
सहस्र,тысяча
अर्थ,"(n) дело, цель"
आचार्य,"(m) учитель, наставник"
कर्मन्,(n) дело
चर्,"ходить, жить"
चर्या,"(f) странствие, жизнь"
दर्श्,"видеть, смотреть"
दर्शन,(n) вид
दीर्घ,длинный
दुर्गा,"(f) nom. pr. богини ""Дурга"""
धर्म,"(m) закон, правило"
धार्मिक,справедливый
निर्मल,чистый
पार्वती,"(f) nom. pr. имя богини ""Парвати"""
वर्ष,(m) дождь
सर्ग,"(m) отдел, глава"
प्रजा,"(f) народ, население; потомство, дети"
प्रथम,первый
श्रु,слушать
कुत्र,куда?
सावित्री,"(f) nom. pr. имя богини ""Савитри"""
प्रिय,"милый, приятный"
पुत्र,"(m) мальчик, сын"
पुत्री,"(f) девочка, дочь"
नलो,"(m) nom. pr. ""Наль"" (N. sg.)"
नाम,по
भ्र,"(m) бродить, ходить"
नेत्रौ,глаза
