col_a,col_b
अभितः,"вокруг, с обоих сторон"
अंशः,"(m) часть, порция, доля"
भूषणः,"(m) украшение, орнамент"
दोषः,"(m) недостаток, ошибка, промах"
हस्तः,(m) рука
कामः,"(m) желание, вожделение, тоска"
कण्ठः,"(m) горло, шея"
किम्,"что?, почему"
क्रोध​,(m) гнев
लोभः,(m)  жадность
मोहः,"(m) заблуждение, ошибка"
मुखम्,"(n) рот, лицо"
नाशः,(m) погибель
निपतति,(P.) (он) падает на
पापम्,(n) зло
फलम्,(n) плод
प्रभवति,"(P.) (он) возникает, появляется"
प्रजनते,"(А.) (он) рождается, порождается"
सकृत्,"(adv.) один раз, однажды"
सः,"(m) он, тот, этот"
सत्यम्,"(n) правда, истина"
श्रोत्रम्,"(n) ухо, слух"
वीरः,"(m) мужчина, герой"
