col_a,col_b
क्व,где? куда?
ख्या,называть
ज्ञा,знать
त्वा,"A. от ""ты"""
द्व,два
प्लु,плавать
दन्त,(m) зуб
म्ना,указывать
स्त्री,(f) женщина
स्था,"стоять, находиться"
स्व,свой
स्मि,смеяться
ह्वा,звать
क्षेत्र,(n)поле
ब्राह्मण,"(m) варна ""брахман"""
क्षत्रिय,"(m) варна ""кшатрий"""
वैश्य,"(m) варна ""вайша"""
शूद्र,"(m) варна ""шудра"""
इन्द्र,"nom. pr. имя Бога ""Индра"""
शिव,"nom. pr. имя Бога ""Шива"""
विष्णु,"nom. pr. имя Бога ""Вишну"""
लक्ष्मी,"nom. pr. имя Богини ""Лакшми"""
गणेश,"nom. pr. имя Бога ""Ганеша"""
अश्विनौ,"nom. pr. имя Богов""Ашвины"""
आसीत्,"impf. 3 л. sg. ""был, жил"""
वीरसेनसुत,(m) сын Вирасены
बली,"(m) N. sg. ""могущественный"""
मद्र,(m) название народа
मद्रेषु,"L. pl. ""среди мадров"""
महात्मा,"N. sg. ""великий духом"""
परमधार्मिकः,"N. sg. ""очень справедливый"""
शाल्व,(m) название народа
शाल्वेषु,"L. pl. ""среди шальвов"""
धर्मात्मा,"N. sg. ""справедливый"""
पृथिवीपति,"(m) N. sg. ""владыка земли"""
