col_a,col_b
°र,"помогающий, способствующий"
य,который
स,"этот, он"
ह,"ведь, же"
कर,делающий
करस्,(m) рука
चर,движущийся
बल,"(n) сила, могущество"
जल,(n) вода
भव,"(m) происхождение, существо"
तल,"(n) плоскость, ладонь"
रथ,(m) колесница
दम,"(m) дом, жилище"
वन,(n) лес
नव,"новый, девять"
वर,"отборный, лучший"
वरम्,"выбор, дар"
दश,десять
शतम्,"сотня, сто"
नर,"(m) человек, герой"
शार,(m) стрела
पर,"другой, дальнейший"
सम,"одинаковый, ровный"
फलम्,(n) плод
कतर,который из двух?
वचन,"(n) слово, речь"
चषक,"(m) сосуд, чашка"
शरण,"(n) прибежище, защита, покровительство"
चरण,"(n) нога, выполнение"
परम,"высший, лучший, очень"
शततम,сотый
भरत,"nom. pr. ""Бхарата"""
वरयथ,вы выбираете
