iast	slp1	pos	n	gloss_idx	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
a	a	PART	2	2	этих	flag	inflected,unknown	этот		этот:A:-:-			
abaddha	abadDa	ADJ	3	1	бессмыслиц	flag	inflected,unknown	бессмыслица		бессмыслица:S:-:-			
abaddha	abadDa	ADJ	3	2	нелепого	flag	inflected,unknown	нелепый		нелепый:A:-:-			
abaddha	abadDa	ADJ	3	3	несвязанным	flag	inflected,unknown	несвязанный		несвязанный:A:-:-			
abala	abala	ADJ	29	2	слабых	flag	inflected,unknown	слабый		слабый:A:-:-			
abalā	abalA	NOUN	24	3	слаба	flag	inflected,unknown	слабый		слабый:A:-:-			
abda	abda	NOUN	18	3	лет	flag	inflected_ambiguous,unknown			год:S:-:-			
abdhi	abDi	NOUN	2	1	океана	flag	inflected,unknown	океан		океан:S:-:-			
abhakta	aBakta	ADJ	21	3	воспользовался	flag	inflected,unknown	воспользоваться		воспользоваться:V:-:-			
abhayā	aBayA	NOUN	3	3	бесстрашных	flag	inflected,unknown	бесстрашный		бесстрашный:A:-:-			
abhibhāvaka	aBiBAvaka	ADJ	2	1	борющихся	flag	inflected,unknown	борющийся		бороться:V:-:-			
abhibhāvi	aBiBAvi	noun	4	1	борющихся	flag	inflected,unknown	борющийся		бороться:V:-:-			
abhibhāvi	aBiBAvi	noun	4	3	устремилась	flag	inflected,unknown	устремиться		устремиться:V:-:-			
abhibhāṣ	aBiBAz	VERB	125	1	сказал	flag	inflected	сказать	5	сказать:V:5:2472.22			
abhibhāṣ	aBiBAz	VERB	125	2	обратился	flag	inflected,unknown	обратиться		обратиться:V:-:-			
abhibhāṣ	aBiBAz	VERB	125	3	промолвил	flag	inflected,unknown	промолвить		промолвить:V:-:-			
abhibhū	aBiBU	VERB	155	2	превосходящее	flag	inflected_ambiguous,unknown			превосходящий:A:-:-			
abhibhū	aBiBU	VERB	155	3	подавляя	flag	inflected,unknown	подавлять		подавлять:V:-:-			
abhibhūti	aBiBUti	ADJ	10	2	превосходящего	flag	inflected_ambiguous,unknown			превосходящий:A:-:-			
abhibhūvan	aBiBUvan	ADJ	2	1	превосходящая	flag	inflected_ambiguous,unknown			превосходящий:A:-:-			
abhibhūvan	aBiBUvan	ADJ	2	2	превзойдя	flag	inflected,unknown	превзойти		превзойти:V:-:-			
abhicakṣ	aBicakz	VERB	15	1	озирает	flag	inflected,unknown	озирать		озирать:V:-:-			
abhicakṣ	aBicakz	VERB	15	2	озирая	flag	inflected,unknown	озирать		озирать:V:-:-			
abhicar	aBicar	VERB	5	2	течет	flag	inflected,unknown	течь		течь:V:-:-			
abhicar	aBicar	VERB	5	3	изменила	flag	inflected,unknown	изменить		изменить:V:-:-			
abhicintay	aBicintay	VERB	4	2	придумали	flag	inflected,unknown	придумать		придумать:V:-:-			
abhicintay	aBicintay	VERB	4	3	гадали	flag	inflected,unknown	гадать		гадать:V:-:-			
abhicoday	aBicoday	VERB	12	1	повелел	flag	inflected,unknown	повелеть		повелеть:V:-:-			
abhicoday	aBicoday	VERB	12	2	пошли	flag	inflected_ambiguous,unknown			послать:V:-:-			
abhicākaś	aBicAkaS	VERB	6	1	смотрит	flag	inflected,unknown	смотреть		смотреть:V:-:-			
abhicākaś	aBicAkaS	VERB	6	2	Воззри	flag	inflected,unknown	воззреть		воззреть:V:-:-			
abhicākaś	aBicAkaS	VERB	6	3	взирает	flag	inflected,unknown	взирать		взирать:V:-:-			
abhidheya	aBiDeya	NOUN	5	1	высказано	flag	inflected,unknown	высказанный		высказать:V:-:-			
abhidheya	aBiDeya	NOUN	5	2	выражаемого	flag	inflected,unknown	выражаемый		выражать:V:-:-			
abhidheya	aBiDeya	NOUN	5	3	обозначаемым	flag	inflected,unknown	обозначаемый		обозначать:V:-:-			
abhidhyai	aBiDyE	VERB	22	1	размышляет	flag	inflected,unknown	размышлять		размышлять:V:-:-			
abhidhyai	aBiDyE	VERB	22	2	поразмыслив	flag	inflected,unknown	поразмыслить		поразмыслить:V:-:-			
abhidhyai	aBiDyE	VERB	22	3	замышляю	flag	inflected,unknown	замышлять		замышлять:V:-:-			
abhidhā	aBiDA	VERB	181	1	зовется	flag	inflected,unknown	зваться		зваться:V:-:-			
abhidhā	aBiDA	VERB	181	2	именуется	flag	inflected,unknown	именоваться		именоваться:V:-:-			
abhidhā	aBiDA	VERB	181	3	сказано	flag	inflected	сказанный	5	сказать:V:5:2472.22			
abhidhāna	aBiDAna	NOUN	18	1	зовется	flag	inflected,unknown	зваться		зваться:V:-:-			
abhidhāna	aBiDAna	NOUN	18	3	означает	flag	inflected,unknown	означать		означать:V:-:-			
abhidhāv	aBiDAv	VERB	126	1	ринулся	flag	inflected,unknown	ринуться		ринуться:V:-:-			
abhidhāv	aBiDAv	VERB	126	2	ринулись	flag	inflected,unknown	ринуться		ринуться:V:-:-			
abhidhāv	aBiDAv	VERB	126	3	устремились	flag	inflected,unknown	устремиться		устремиться:V:-:-			
abhidhāyin	aBiDAyin	ADJ	2	1	наложил	flag	inflected,unknown	наложить		наложить:V:-:-			
abhidhāyin	aBiDAyin	ADJ	2	2	промолвил	flag	inflected,unknown	промолвить		промолвить:V:-:-			
abhidru	aBidru	VERB	276	1	ринулся	flag	inflected,unknown	ринуться		ринуться:V:-:-			
abhidru	aBidru	VERB	276	2	ринулись	flag	inflected,unknown	ринуться		ринуться:V:-:-			
abhidru	aBidru	VERB	276	3	устремился	flag	inflected,unknown	устремиться		устремиться:V:-:-			
abhidruh	aBidruh	VERB	8	2	обманул	flag	inflected,unknown	обмануть		обмануть:V:-:-			
abhidyu	aBidyu	ADJ	16	1	сверкающие	flag	inflected_ambiguous,unknown			сверкать:V:-:-			
abhidās	aBidAs	VERB	23	1	угрожает	flag	inflected,unknown	угрожать		угрожать:V:-:-			
abhidās	aBidAs	VERB	23	2	враждует	flag	inflected,unknown	враждовать		враждовать:V:-:-			
abhidāsi	aBidAsi	noun	16	2	нападет	flag	inflected,unknown	напасть		напасть:V:-:-			
abhidṛś	aBidfS	VERB	3	2	вижу	flag	inflected,unknown	видеть		видеть:V:-:-			
abhidṛś	aBidfS	VERB	3	3	Наблюдают	flag	inflected,unknown	наблюдать		наблюдать:V:-:-			
abhigai	aBigE	verb	2	1	пел	flag	inflected,unknown	петь		петь:V:-:-			
abhigam	aBigam	VERB	238	1	явился	flag	inflected,unknown	явиться		явиться:V:-:-			
abhigam	aBigam	VERB	238	2	пришли	flag	inflected_ambiguous,unknown			прислать:V:-:-			
abhigam	aBigam	VERB	238	3	приблизившись	flag	inflected,unknown	приблизиться		приблизиться:V:-:-			
abhigamana	aBigamana	NOUN	26	1	сближении	flag	inflected	сближение	3	сближение:S:3:15.08			
abhigamana	aBigamana	NOUN	26	2	посещении	flag	inflected,unknown	посещение		посещение:S:-:-			
abhigarj	aBigarj	VERB	14	2	гремя	flag	inflected,unknown	греметь		греметь:V:-:-			
abhighrā	aBiGrA	VERB	6	2	поцелует	flag	inflected,unknown	поцеловать		поцеловать:V:-:-			
abhighrā	aBiGrA	VERB	6	3	вдыхает	flag	inflected,unknown	вдыхать		вдыхать:V:-:-			
abhighāta	aBiGAta	NOUN	8	1	натиска	flag	inflected,unknown	натиск		натиск:S:-:-			
abhighāta	aBiGAta	NOUN	8	2	топает	flag	inflected,unknown	топать		топать:V:-:-			
abhighāta	aBiGAta	NOUN	8	3	ударами	flag	inflected,unknown	удар		удар:S:-:-			
abhigopāya	aBigopAya	noun	6	1	защищают	flag	inflected,unknown	защищать		защищать:V:-:-			
abhigrah	aBigrah	VERB	2	1	принял	flag	inflected,unknown	принять		принять:V:-:-			
abhigrah	aBigrah	VERB	2	2	внял	flag	inflected,unknown	внять		внять:V:-:-			
abhigup	aBigup	VERB	5	1	охраняется	flag	inflected,unknown	охраняться		охраняться:V:-:-			
abhigup	aBigup	VERB	5	3	хранимых	flag	inflected,unknown	хранимый		хранить:V:-:-			
abhigur	aBigur	noun	3	2	превознося	flag	inflected,unknown	превозносить		превозносить:V:-:-			
abhigā	aBigA	VERB	34	1	поет	flag	inflected,unknown	петь		петь:V:-:-			
abhigā	aBigA	VERB	34	2	вернулся	flag	inflected,unknown	вернуться		вернуться:V:-:-			
abhigā	aBigA	VERB	34	3	вошла	flag	inflected,unknown	войти		войти:V:-:-			
abhihan	aBihan	VERB	169	1	поразил	flag	inflected,unknown	поразить		поразить:V:-:-			
abhihan	aBihan	VERB	169	2	ударил	flag	inflected,unknown	ударить		ударить:V:-:-			
abhihan	aBihan	VERB	169	3	зазвучали	flag	inflected,unknown	зазвучать		зазвучать:V:-:-			
abhihary	aBihary	VERB	2	1	радуются	flag	inflected,unknown	радоваться		радоваться:V:-:-			
abhiharṣay	aBiharzay	VERB	3	1	радуя	flag	inflected,unknown	радовать		радовать:V:-:-			
abhiharṣay	aBiharzay	VERB	3	2	воодушевляя	flag	inflected,unknown	воодушевлять		воодушевлять:V:-:-			
abhihiṃsana	aBihiMsana	NOUN	2	1	лишаешь	flag	inflected,unknown	лишать		лишать:V:-:-			
abhihiṅkṛ	aBihiNkf	VERB	3	1	произношу	flag	inflected,unknown	произносить		произносить:V:-:-			
abhihāray	aBihAray	VERB	5	2	двинулся	flag	inflected,unknown	двинуться		двинуться:V:-:-			
abhihāray	aBihAray	VERB	5	3	обрушился	flag	inflected,unknown	обрушиться		обрушиться:V:-:-			
abhihāri	aBihAri	noun	2	2	нападали	flag	inflected,unknown	нападать		нападать:V:-:-			
abhihṛ	aBihf	VERB	5	1	приносят	flag	inflected,unknown	приносить		приносить:V:-:-			
