level	col_a	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
level_01	A.	винительный падеж	flag	phrase,unknown			винительный:A:-:- падеж:S:-:-			
level_01	A.duplex	двойной винительный падеж	flag	phrase,unknown			двойной:A:-:- винительный:A:-:- падеж:S:-:-			
level_01	Abl.	отложительный падеж	flag	phrase,unknown			отложительный:A:-:- падеж:S:-:-			
level_01	adj.	прилагательное	flag	unknown			прилагательное:S:-:-			
level_01	adv.	наречие	flag	unknown			наречие:S:-:-			
level_01	aor.	аорист	flag	unknown			аорист:S:-:-			
level_01	Ā.	средний залог	flag	phrase,unknown			средний:A:-:- залог:S:-:-			
level_01	bah.	сложное посессивное определение	flag	phrase,unknown			сложный:A:-:- посессивный:A:-:- определение:S:-:-			
level_01	caus.	каузативный глагол	flag	phrase,unknown			каузативный:A:-:- глагол:S:-:-			
level_01	conj.	союз	flag	unknown			союз:S:-:-			
level_01	cpv.	сравнительная степень	flag	phrase,unknown			сравнительный:A:-:- степень:S:-:-			
level_01	D.	дательный падеж	flag	phrase,unknown			дательный:A:-:- падеж:S:-:-			
level_01	den.	отыменный глагол	flag	phrase,unknown			отымённый:A:-:- глагол:S:-:-			
level_01	des.	желательный глагол	flag	phrase,unknown			желательный:A:-:- глагол:S:-:-			
level_01	du.	двойственное число	flag	phrase,unknown			двойственный:A:-:- число:S:-:-			
level_01	dv.	копулятивное сложное слово	flag	phrase,unknown			копулятивный:A:-:- сложный:A:-:- слово:S:-:-			
level_01	encl.	безударное слово	flag	phrase,unknown			безударный:A:-:- слово:S:-:-			
level_01	f	женский род	flag	phrase,unknown			женский:A:-:- род:S:-:-			
level_01	fut.	будущее время	flag	phrase,unknown			будущее:S:-:- время:S:-:-			
level_01	G.	родительный падеж	flag	phrase,unknown			родительный:A:-:- падеж:S:-:-			
level_01	ger.	деепричастие	flag	unknown			деепричастие:S:-:-			
level_01	ij.	междометие	flag	unknown			междометие:S:-:-			
level_01	inf.	инфинитив	flag	unknown			инфинитив:S:-:-			
level_01	ind.	изъявительное наклонение	flag	phrase,unknown			изъявительный:A:-:- наклонение:S:-:-			
level_01	I.	творительный падеж	flag	phrase,unknown			творительный:A:-:- падеж:S:-:-			
level_01	imp.	повелительное наклонение	flag	phrase,unknown			повелительный:A:-:- наклонение:S:-:-			
level_01	impf.	прошедшее время	flag	phrase,unknown			прошедшее:S:-:- время:S:-:-			
level_01	int.	интенсивный глагол	flag	phrase,unknown			интенсивный:A:-:- глагол:S:-:-			
level_01	L.	местный падеж	flag	phrase,unknown			местный:A:-:- падеж:S:-:-			
level_01	m	мужской род	flag	phrase,unknown			мужской:A:-:- род:S:-:-			
level_01	n	средний род	flag	phrase,unknown			средний:A:-:- род:S:-:-			
level_01	nom. ag.	имя деятеля	flag	phrase,unknown			имя:S:-:- деятель:S:-:-			
level_01	nom. pr.	имя собственное	flag	phrase,unknown			имя:S:-:- собственный:A:-:-			
level_01	N.	именительный падеж	flag	phrase,unknown			именительный:A:-:- падеж:S:-:-			
level_01	opt.	желательное наклонение	flag	phrase,unknown			желательный:A:-:- наклонение:S:-:-			
level_01	P.	действительный залог	flag	phrase,unknown			действительный:A:-:- залог:S:-:-			
level_01	part.	причастие	flag	unknown			причастие:S:-:-			
level_01	p.	страдательный залог	flag	phrase,unknown			страдательный:A:-:- залог:S:-:-			
level_01	pf.	прошедшее время	flag	phrase,unknown			прошедшее:S:-:- время:S:-:-			
level_01	pfph.	описательный перфект	flag	phrase,unknown			описательный:A:-:- перфект:S:-:-			
level_01	pl.	множественное число	flag	phrase,unknown			множественный:A:-:- число:S:-:-			
level_01	pn.	причастие долженствования	flag	phrase,unknown			причастие:S:-:- долженствование:S:-:-			
level_01	pp.	причастие страдательного залога прошедшего времени	flag	phrase,unknown			причастие:S:-:- страдательный:A:-:- залог:S:-:- прошедшее:S:-:- время:S:-:-			
level_01	pr.	настоящее время	flag	phrase,unknown			настоящий:A:-:- время:S:-:-			
level_01	pref.	префикс	flag	unknown			префикс:S:-:-			
level_01	relat.	относительное местоимение	flag	phrase,unknown			относительный:A:-:- местоимение:S:-:-			
level_01	sg.	единственное число	flag	phrase,unknown			единственный:A:-:- число:S:-:-			
level_01	S.	существительное	flag	unknown			существительное:S:-:-			
level_01	spv.	превосходная степень	flag	phrase,unknown			превосходный:A:-:- степень:S:-:-			
level_01	U.	имеющий оба залога	flag	phrase,unknown		5	иметь:V:5:1028.29 залог:S:-:-			
level_01	V.	звательная форма	flag	phrase,unknown			звательный:A:-:- форма:S:-:-			
