lemma	nkrya_pos	gloss_rows
колесница	S	199
тот	A	193
время	S	191
жизнь	S	188
конь	S	187
высокий	A	184
место	S	183
жертва	S	182
один	A	182
стрела	S	179
род	S	175
вместе	ADV	173
день	S	171
путь	S	168
тело	S	168
брахман	S	165
корова	S	165
гора	S	164
друг	S	162
знание	S	162
жить	V	158
небо	S	158
жертвенный	A	148
дерево	S	146
полный	A	145
дар	S	144
достойный	A	142
стремиться	V	142
огонь	S	141
богатство	S	140
слово	S	140
солнце	S	139
дело	S	137
часть	S	137
родить	V	136
самый	A	135
тысяча	S	134
враг	S	133
пища	S	133
подобный	A	133
радость	S	132
лишённый	A	131
вид	S	130
слон	S	126
чей	A	126
муж	S	125
который	A	124
обряд	S	122
жертвоприношение	S	121
глаз	S	120
женщина	S	120
веда	S	118
могучий	A	118
сверкать	V	116
давать	V	113
ветер	S	112
сторона	S	112
душа	S	111
сильный	A	111
приносить	V	110
следовать	V	110
имя	S	109
обет	S	109
ночь	S	108
бык	S	107
оружие	S	106
закон	S	105
сам	A	105
цель	S	105
битва	S	104
благо	S	104
дочь	S	104
лес	S	104
плод	S	104
свет	S	104
большой	A	103
идти	V	102
сердце	S	102
богатый	A	101
дом	S	101
дух	S	101
говорить	V	100
дхарма	S	99
видеть	V	98
лотос	S	98
смерть	S	98
существо	S	98
хорошо	ADV	98
золотой	A	97
лук	S	96
океан	S	95
находиться	V	94
город	S	92
действие	S	92
наделить	V	92
сиять	V	92
стать	V	92
знающий	A	91
гнев	S	90
достигнуть	V	89
мысль	S	89
герой	S	88
хотеть	V	88
золото	S	87
нога	S	87
очень	ADV	87
цвет	S	87
жаждать	V	86
природа	S	86
священный	A	86
год	S	85
конец	S	85
река	S	85
обладать	V	84
первый	A	84
покрыть	V	84
волос	S	82
предать	V	82
сом	S	82
блеск	S	81
любовь	S	81
сотня	S	81
счастливый	A	81
украсить	V	81
речь	S	80
чистый	A	80
грех	S	79
образ	S	79
рождение	S	79
птица	S	78
божественный	A	77
войско	S	77
мудрый	A	77
поток	S	77
быстрый	A	75
луна	S	75
исполнить	V	74
причина	S	74
супруг	S	74
дождь	S	73
месяц	S	73
награда	S	73
повелитель	S	73
равный	A	73
такой	A	73
знаток	S	72
чувство	S	72
брат	S	71
потомок	S	71
слава	S	71
совершить	V	71
состоять	V	71
голова	S	70
добрый	A	70
дурной	A	70
деяние	S	69
долг	S	68
одежда	S	67
почитать	V	67
победить	V	66
собственный	A	66
убить	V	66
украшение	S	66
низкий	A	65
обитель	S	65
более	ADV	64
возлияние	S	64
звук	S	64
отец	S	64
мудрец	S	63
йога	S	62
поле	S	62
пребывать	V	62
пространство	S	62
сражение	S	62
ум	S	62
царство	S	62
белый	A	61
приятный	A	61
отсутствие	S	60
туча	S	60
губитель	S	59
легко	ADV	59
молоко	S	59
средство	S	59
царский	A	59
дать	V	58
двигаться	V	58
делать	V	58
широкий	A	58
больший	A	57
быстро	ADV	57
начало	S	57
состояние	S	57
каждый	A	56
лицо	S	56
народ	S	56
поведение	S	56
правило	S	56
берег	S	55
гибель	S	55
защита	S	55
игра	S	55
помощь	S	55
привести	V	55
сознание	S	55
способный	A	55
воин	S	54
господин	S	54
знамя	S	54
мой	A	54
носить	V	54
грудь	S	53
знак	S	53
красивый	A	53
обезьяна	S	53
облако	S	53
окружить	V	53
собрание	S	53
живой	A	52
колесо	S	52
огромный	A	52
пламя	S	52
свободный	A	52
трава	S	52
бой	S	51
подняться	V	51
познание	S	51
принять	V	51
страна	S	51
добродетель	S	50
красный	A	50
наука	S	50
поднять	V	50
сидеть	V	50
форма	S	50
юный	A	50
власть	S	49
гимн	S	49
довольный	A	49
дрожать	V	49
жир	S	49
зло	S	49
луч	S	49
мочь	V	49
охранять	V	49
уничтожить	V	49
хранитель	S	49
верный	A	48
вершина	S	48
вниз	ADV	48
восприятие	S	48
достоинство	S	48
искать	V	48
обладатель	S	48
светлый	A	48
совершать	V	48
убивать	V	48
чёрный	A	48
далеко	ADV	47
жажда	S	47
мёд	S	47
облик	S	47
острый	A	47
очистить	V	47
половина	S	47
слуга	S	47
сопровождать	V	47
благочестивый	A	46
действовать	V	46
доля	S	46
лесной	A	46
многий	A	46
небесный	A	46
хвала	S	46
язык	S	46
воля	S	45
всегда	ADV	45
долгий	A	45
исполнять	V	45
истинный	A	45
красота	S	45
молитва	S	45
обратить	V	45
приветствовать	V	45
благой	A	44
властитель	S	44
лишиться	V	44
множество	S	44
победа	S	44
препятствие	S	44
прочь	ADV	44
слеза	S	44
страдание	S	44
стремительный	A	44
уйти	V	44
успех	S	44
шум	S	44
щедрый	A	44
еда	S	43
желанный	A	43
жрец	S	43
находить	V	43
пить	V	43
приводить	V	43
принести	V	43
сидение	S	43
сокрушитель	S	43
чужой	A	43
яд	S	43
готовый	A	42
зерно	S	42
источник	S	42
крик	S	42
кшатрий	S	42
мощь	S	42
мудрость	S	42
новый	A	42
охватить	V	42
поддерживать	V	42
предок	S	42
разум	S	42
ракшас	S	42
смотреть	V	42
ухо	S	42
болезнь	S	41
мясо	S	41
поразить	V	41
порядок	S	41
пылать	V	41
семя	S	41
скот	S	41
сущность	S	41
твёрдый	A	41
убийца	S	41
блистать	V	40
звезда	S	40
корень	S	40
кость	S	40
младший	A	40
обуздать	V	40
освобождение	S	40
семья	S	40
страшный	A	40
узнать	V	40
близкий	A	39
величие	S	39
вести	V	39
вооружённый	A	39
главный	A	39
грозный	A	39
дворец	S	39
ещё	ADV	39
защитник	S	39
качество	S	39
кровь	S	39
лев	S	39
ложа	S	39
молния	S	39
питие	S	39
покой	S	39
радовать	V	39
радоваться	V	39
разный	A	39
сестра	S	39
смятение	S	39
владеть	V	38
вперёд	ADV	38
добродетельный	A	38
омовение	S	38
оставить	V	38
почтить	V	38
предел	S	38
прекрасно	ADV	38
связь	S	38
создать	V	38
сон	S	38
усилие	S	38
бежать	V	37
где	ADV	37
животное	S	37
какой	A	37
лишённый	V	37
милость	S	37
надежда	S	37
наслаждение	S	37
песня	S	37
плохой	A	37
подвиг	S	37
пронзить	V	37
рот	S	37
страсть	S	37
убийство	S	37
удар	S	37
член	S	37
этот	A	37
восхваление	S	36
дваждырожденный	A	36
движение	S	36
драгоценный	A	36
зуб	S	36
истина	S	36
любимый	A	36
отдать	V	36
привязанность	S	36
приготовить	V	36
приходить	V	36
происхождение	S	36
радостный	A	36
сведущий	A	36
сомнение	S	36
только	ADV	36
цветок	S	36
беда	S	35
возвращаться	V	35
возница	S	35
выйти	V	35
дорога	S	35
заблуждение	S	35
мощный	A	35
обман	S	35
положение	S	35
сияние	S	35
сражаться	V	35
ужасный	A	35
шастра	S	35
глава	S	34
думать	V	34
зверь	S	34
могущественный	A	34
получить	V	34
постоянно	ADV	34
превосходный	A	34
пьющий	A	34
раз	S	34
решение	S	34
твой	A	34
тигр	S	34
удивительный	A	34
богиня	S	33
вселенная	S	33
глубокий	A	33
деятельность	S	33
жилище	S	33
изгнать	V	33
исполнение	S	33
любящий	A	33
масло	S	33
мера	S	33
несущий	A	33
остаток	S	33
палец	S	33
привязать	V	33
проклятие	S	33
пруд	S	33
советник	S	33
