level	col_a	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
level_01	क	кто, который?	flag	phrase,unknown			который:A:-:-			
level_01	ख	(n) воздушное пространство, небо	flag	phrase,unknown			воздушный:A:-:- пространство:S:-:- небо:S:-:-			
level_01	°ग	идущий	flag	unknown			идти:V:-:-			
level_01	च	и	ok							
level_01	°ज	рожденный	flag	unknown			родить:V:-:-			
level_01	त	тот	flag	unknown			тот:A:-:-			
level_01	°द	дающий	flag	unknown			давать:V:-:-			
level_01	न	не	ok							
level_01	°प	пьющий	flag	unknown			пьющий:A:-:-			
level_01	भ	(n) звезда, созвездие	flag	phrase,unknown			звезда:S:-:- созвездие:S:-:-			
level_01	कट	(m) циновка	flag	phrase,unknown			циновка:S:-:-			
level_01	दम	(m,n) дом, жилище	flag	phrase,unknown			дом:S:-:- жилище:S:-:-			
level_01	कज	(n) цветок лотоса	flag	phrase,unknown			цветок:S:-:- лотос:S:-:-			
level_01	धन	(n) богатство, деньги	flag	phrase,unknown			богатство:S:-:- деньга:S:-:-			
level_01	खन	(m) яма	flag	phrase,unknown			яма:S:-:-			
level_01	नख	(m, n) ноготь	flag	phrase,unknown			ноготь:S:-:-			
level_01	गज	(m) слон	flag	phrase,unknown			слон:S:-:-			
level_01	पद	(n) шаг, нога	flag	phrase,unknown			шаг:S:-:- нога:S:-:-			
level_01	गण	(m) множество	flag	phrase,unknown			множество:S:-:-			
level_01	पथ	путь	flag	unknown			путь:S:-:-			
level_01	गत	идущий	flag	unknown			идти:V:-:-			
level_01	भग	(m) счастье	ok	phrase		3	счастие:S:3:29.48			
level_01	जन	(m) человек	ok	phrase		5	человек:S:5:2888.63			
level_01	मम	мой, меня	flag	phrase,unknown			мой:A:-:-			
level_01	तन	(n) дитя	flag	phrase,unknown			дитя:S:-:-			
level_01	कनक	(n) золото	flag	phrase,unknown			золото:S:-:-			
level_01	कनथ	вы довольны	flag	phrase,unknown			довольный:A:-:-			
level_01	कतम	который из многих?	flag	phrase,unknown			который:A:-:- многий:A:-:-			
level_01	पतथ	вы падаете	flag	phrase,unknown			падать:V:-:-			
level_01	चटक	(m) воробей	flag	phrase,unknown			воробей:S:-:-			
level_01	गदथ	вы говорите	flag	phrase,unknown			говорить:V:-:-			
level_01	धनद	щедрый	flag	unknown			щедрый:A:-:-			
