level	col_a	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
level_01	pat	падать, лететь	flag	phrase,unknown			падать:V:-:- лететь:V:-:-			
level_01	dah	гореть, жечь	flag	phrase,unknown			гореть:V:-:- жечь:V:-:-			
level_01	yaj	приносить жертву	flag	phrase,unknown			приносить:V:-:- жертва:S:-:-			
level_01	śaṁs	прославлять	flag	unknown			прославлять:V:-:-			
level_01	vas	жить, обитать, проживать	flag	phrase,unknown			жить:V:-:- обитать:V:-:- проживать:V:-:-			
level_01	rakṣ	защищать	flag	unknown			защищать:V:-:-			
level_01	jīv	жить	flag	unknown			жить:V:-:-			
level_01	car	идти, совершать, пастись	flag	phrase,unknown			идти:V:-:- совершать:V:-:- пастись:V:-:-			
level_01	nam	1P кланяться, почитать	flag	phrase,unknown			кланяться:V:-:- почитать:V:-:-			
level_01	pac	варить	flag	unknown			варить:V:-:-			
level_01	dhāv	бежать	flag	unknown			бежать:V:-:-			
level_01	tyaj	покидать	flag	unknown			покидать:V:-:-			
level_01	vah	нести, течь, веять, дуть	flag	phrase,unknown			нести:V:-:- течь:S:-:- веять:V:-:- дуть:V:-:-			
level_01	vad	1 P. говорить	flag	unknown			говорить:V:-:-			
level_02	atas / itas	отсюда, поэтому	flag	phrase,unknown		4	отсюда:ADV:-:- поэтому:ADV:4:289.91			
level_02	tatas	оттуда, потому	flag	phrase,unknown			оттуда:ADV:-:- потому:ADV:-:-			
level_02	yatas	откуда, почему (относит.)	flag	phrase,unknown			откуда:ADV:-:- почему:ADV:-:- относить:V:-:-			
level_02	atra	здесь, сюда	flag	phrase,unknown		4	здесь:ADV:4:876.99 сюда:ADV:-:-			
level_02	tatra	там, туда	flag	phrase,unknown			там:ADV:-:- туда:ADV:-:-			
level_02	yatra	где, куда (относит.)	flag	phrase,unknown			где:ADV:-:- относить:V:-:-			
level_02	ittham	(э)так	ok	phrase						
level_02	tathā	так	ok							
level_02	yathā	как (относит.)	flag	phrase,unknown			относить:V:-:-			
level_02	adhunā	теперь	flag	unknown			теперь:ADV:-:-			
level_02	tadā	тогда	flag	unknown			тогда:ADV:-:-			
level_02	yadā	если, когда	ok	phrase						
level_02	evam	таким образом	flag	phrase,unknown			такой:A:-:- образ:S:-:-			
level_02	iti	так (цитат.)	flag	phrase,unknown			цитата:S:-:-			
level_02	tu, kimtu	но, же	ok	phrase						
level_02	adya	сегодня	flag	unknown			сегодня:ADV:-:-			
level_02	sadā	всегда	flag	unknown			всегда:ADV:-:-			
level_02	sarvatra	везде, повсюду	flag	phrase,unknown			везде:ADV:-:- повсюду:ADV:-:-			
level_02	ca	и	ok							
level_02	iha	здесь	ok			4	здесь:ADV:4:876.99			
level_02	katham	как? каким образом?	flag	phrase,unknown			какой:A:-:- образ:S:-:-			
level_02	kutas	откуда? почему?	flag	phrase,unknown			откуда:ADV:-:- почему:ADV:-:-			
level_02	kutra, kva	где? куда?	flag	phrase,unknown			где:ADV:-:-			
level_02	kadā	когда?	ok							
level_02	eva	именно, только	flag	phrase,unknown			только:ADV:-:-			
level_02	punar	опять, снова, но, же	flag	phrase,unknown			опять:ADV:-:- снова:ADV:-:-			
level_02	he	о!	ok							
level_03	ji	побеждать, завоевывать	flag	phrase,unknown			побеждать:V:-:- завоёвывать:V:-:-			
level_03	nī	вести, направлять	flag	phrase,unknown			вести:V:-:- направлять:V:-:-			
level_03	bhū	быть, становиться, происходить	flag	phrase,unknown		6	быть:V:6:12831.00 становиться:V:-:- происходить:V:-:-			
level_03	smṛ	вспоминать	flag	unknown			вспоминать:V:-:-			
level_03	tṛ	переправлять, спасать	flag	phrase,unknown			переправлять:V:-:- спасать:V:-:-			
