devanagari,iast,translation,audio,image,note_id,tags
हफ्ता,hafTaa,week,media/284860.mp3,media/22019_96square.jpg,1436157617906,
साल,SaaL,year,media/128512.mp3,media/22020_96square.jpg,1436157617907,
आज,aaj,today,media/632457.mp3,media/22014_96square.jpg,1436157617908,
कल,kal,tomorrow,media/632458.mp3,media/22015_96square.jpg,1436157617909,
कल,kal,yesterday,media/632461.mp3,media/22016_96square.jpg,1436157617910,
कैलेंडर,kailendar,calendar,media/408164.mp3,media/21796_96square.jpg,1436157617911,
सेकंड,SekaNd,second,media/284870.mp3,media/22047_96square.jpg,1436157617912,
घंटा,ghaNtaa,hour,media/128543.mp3,media/22041_96square.jpg,1436157617913,
मिनट,minaT,minute,media/128529.mp3,media/22043_96square.jpg,1436157617914,
बजे,baje,o'clock,media/128540.mp3,media/22044_96square.jpg,1436157617915,
घड़ी,ghadii,clock,media/284882.mp3,media/20235_96square.jpg,1436157617916,
सकना,SakNaa,can,media/400808.mp3,media/9008_96square.jpg,1436157617917,
उपयोगकरना,upayog karNaa,use,media/308546.mp3,media/17270_96square.jpg,1436157617918,
करना,karNaa,do,media/351043.mp3,media/9432_96square.jpg,1436157617919,
जाना,jaaNaa,go,media/633369.mp3,media/9499_96square.jpg,1436157617920,
आना,aaNaa,come,media/330035.mp3,media/9189_96square.jpg,1436157617921,
हसना,haSNaa,laugh,media/284787.mp3,media/9527_96square.jpg,1436157617922,
बनाना,baNaaNaa,make,media/284792.mp3,media/8742_96square.jpg,1436157617923,
देखना,dekhNaa,see,media/284796.mp3,media/17269_96square.jpg,1436157617924,
दूर,Duur,far,media/400561.mp3,media/8065_96square.jpg,1436157617925,
छोटा,chotaa,small,media/400652.mp3,media/21795_96square.jpg,1436157617926,
अच्छा,acchaa,good,media/129911.mp3,media/16933_96square.jpg,1436157617927,
सुंदर,SuNDar,beautiful,media/128267.mp3,media/9658_96square.jpg,1436157617928,
बदसूरत,baDSuuraT,ugly,media/284829.mp3,media/8197_96square.jpg,1436157617929,
कठिन,kathiN,difficult,media/632521.mp3,media/17227_96square.jpg,1436157617930,
आसान,aasaan,easy,media/632522.mp3,media/8717_96square.jpg,1436157617931,
