slug,meta_title,meta_description
logika-2024,"Логика, 2024 — запись","Логика, 2024 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-biulleru-gr27,Бюлер гр.27 — живой,"Бюлер гр.27 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-guru-stotram-2024,"Гуру-стотрам, 2024 — запись","Гуру-стотрам, 2024 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
donat-na-razvitie-ors,Донат на развитие ОРС,"Поддержать Общество ревнителей санскрита: 21+ лет сообществу и 5 000+ учеников. Это страница доната, не курс."
grammatika-xindi-gr-3-pt,Хинди гр.3 пт — живой 2025,"Хинди гр.3 пт — живой 2025. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
prodlenka-hindi-s-kostinoi-2026,Продлёнка хинди — живой 2026,"Продлёнка хинди — живой 2026. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
hindi-3-vt1800-2026,Хинди №3 вт 18:00 — живой 2026,"Хинди №3 вт 18:00 — живой 2026. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
hindi-1-sr800-2026,Хинди гр.1 ср 8:00 — живой 2026,"Хинди гр.1 ср 8:00 — живой 2026. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
hindi-2-sb1300-2026,Хинди гр.2 сб 13:00 — живой 2026,"Хинди гр.2 сб 13:00 — живой 2026. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
hindi-5-vt1500-2026,Хинди гр.5 вт — живой 2025,"Хинди гр.5 вт — живой 2025. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
hindi-gr4-sb1000-2026-pro,Хинди гр.4 сб продолж. — 2025,"Хинди гр.4 сб продолж. — 2025. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
vostocnye-kalendari-2026,"Восточные календари, 2026 — запись","Восточные календари, 2026 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
likbez-po-lingvistike-2-potok-2025-2026,"Ликбез по лингвистике, 2 поток","Ликбез по лингвистике, 2 поток. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr62,Кочергина гр.62 — живой,"Кочергина гр.62 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
ctenie-aitareii-2026,"Чтение Айтарейи, 2026 — запись","Чтение Айтарейи, 2026 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr61,Кочергина гр.61 — живой,"Кочергина гр.61 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr60,Кочергина гр.60 — живой,"Кочергина гр.60 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr59,Кочергина гр.59 — живой,"Кочергина гр.59 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-108-imen-sivy-2025,"Гимн 108 имён Шивы, 2025","Гимн 108 имён Шивы, 2025. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
detskii-sanskrit-2025-gr-1,Детский санскрит гр.1 — живой,"Детский санскрит гр.1 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr58,Кочергина гр.58 — живой,"Кочергина гр.58 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
izbrannye-glavy-iz-bxagavadgity-4-cikl,"Главы Гиты, цикл 4 — живой","Главы Гиты, цикл 4 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr53,Кочергина гр.53 — живой,"Кочергина гр.53 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
karaki-po-panini-2025,"Караки по Панини, 2025 — запись","Караки по Панини, 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr51,Кочергина гр.51 — запись,"Кочергина гр.51 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr50,Кочергина гр.50 — запись,"Кочергина гр.50 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr42,Кочергина гр.42 — запись,"Кочергина гр.42 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
start-chteniya,Старт чтения — курс санскрита,"5-недельный пилот чтения санскрита: 8000 ₽ за 4 занятия, минимум 4 блока (16 занятий)."
napevnyi-sanskrit-gimn-xanumanu-2023,"Гимн Хануману, 2023 — запись","Гимн Хануману, 2023 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
ioga-sutry-patandzali-1-potok-2025,"Йога-сутры, 1 поток 2025 — запись","Йога-сутры, 1 поток 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
likbez-po-vedante-2025,"Ликбез по веданте, 2025 — запись","Ликбез по веданте, 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
astronomiia-dlia-astrologov-2-potok-osen-2025,"Астрономия, 2 поток 2025 — запись","Астрономия, 2 поток 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
kasmirskii-sivaizm-2025,"Кашмирский шиваизм, 1 поток — запись","Кашмирский шиваизм, 1 поток — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
blagopriyatnyye-zachiny-yogicheskoy-traditsii-2025,"Благоприятные зачины, 2025 — запись","Благоприятные зачины, 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
izbrannye-glavy-iz-bxagavadgity-2-cikl,"Главы Гиты, цикл 2 — запись","Главы Гиты, цикл 2 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
izbrannye-glavy-iz-bxagavadgity-1-cikl,"Главы Гиты, цикл 1 — запись","Главы Гиты, цикл 1 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
osnovy-indiiskoi-filosofii-2026,Основы индийской философии — 2026,"Основы индийской философии — 2026. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
kalligrafiia-2026,Каллиграфия санскрита — живой 2026,"Каллиграфия санскрита — живой 2026. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
geografiia-indii-2026,"География Индии, 2026 — запись","География Индии, 2026 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
