folder	file	raw_num	translit_key	match_method	boehtlingk_num	saying_id	iast_head	confidence	size_bytes	duration_sec_approx
Kochergina-Subhashitas	Субхашита Видваттвам (Vidvattvam) विद्वत्तवं.mp3		vidvattvam	none				unmatched	293858	18.3
Kochergina-Subhashitas	Субхашита Видья (Vidya) विद्या.mp3		vidya	exact-first-word-ambiguous(11)				low	308068	19.2
Kochergina-Subhashitas	Субхашита Видья нама (Vidya nama) विद्या नाम.mp3		vidyanama	prefix-first-word	7878	Saying 7878	kvacitpāṇiprāptam ghaṭitamapi kāryaṃ vighaṭaya-	medium	607327	37.9
Kochergina-Subhashitas	Субхашита Даридран (Daridran) दरिद्रान्.mp3		daridran	prefix-first-word	7878	Saying 7878	kvacitpāṇiprāptam ghaṭitamapi kāryaṃ vighaṭaya-	medium	308904	19.3
Kochergina-Subhashitas	Субхашита Дива (Diva) दिवा.mp3		diva	exact-first-word	2805	Saying 2805	divā paśyati nolūkaḥ kāko naktaṃ na paśyati	high	282991	17.7
Kochergina-Subhashitas	Субхашита Кавих (Kaviḥ) कविः.mp3		kavih	exact-first-word	1584	Saying 1584	kaviḥ karoti kāvyāni svādu jānāti paṇḍitaḥ	high	260839	16.3
Kochergina-Subhashitas	Субхашита Кавья шастра винодэна (Kavya shastra vinodena) काव्यशास्त्रविनोदेन.mp3		kavyashastravinodena	prefix-first-word	1584	Saying 1584	kaviḥ karoti kāvyāni svādu jānāti paṇḍitaḥ	medium	288842	18.0
Kochergina-Subhashitas	Субхашита Лобхат кродхах (Lobhat krodhah) लोभात्क्रोधः.mp3		lobhatkrodhah	exact-first-word	5883	Saying 5883	lobhātkrodhaḥ prabhavati lobhātkāmaḥ pravartate	high	331056	20.7
Kochergina-Subhashitas	Субхашита На кашьчид апи (Na kashcid api) न कश्चिदपि.mp3		nakashcidapi	prefix-first-word	5883	Saying 5883	lobhātkrodhaḥ prabhavati lobhātkāmaḥ pravartate	medium	293858	18.3
Kochergina-Subhashitas	Субхашита Сарватра (Sarvatra) सर्वत्र.mp3		sarvatra	exact-first-word-ambiguous(3)				low	279229	17.4
Kochergina-Subhashitas	Субхашита Сарвэ пи (Sarve 'pi) सर्वे ऽपि.mp3		sarvepi	prefix-first-word-ambiguous(2)				low	303471	18.9
